0,1,2,3,4,5,6,7,8
160504000012026NC400566,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(025213-CMDO 9ª RM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO RESERVISTA) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
160504000012026NC400568,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(025213-CMDO 9ª RM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DA FAMILIA MILITAR) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
160504000012026NC400569,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023598-CMDO 3º GPT E)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 3º GPT E) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400570,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023598-CMDO 3º GPT E)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DA ENGENHARIA) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3500.0
160504000012026NC400571,160078,COLEGIO MILITAR DE CAMPO GRANDE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(020271-CMCG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO CMCG) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400572,160078,COLEGIO MILITAR DE CAMPO GRANDE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(020271-CMCG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO MAGISTERIO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
160504000012026NC400573,160078,COLEGIO MILITAR DE CAMPO GRANDE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(020271-CMCG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO QCO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
160504000012026NC400574,160143,HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(059618-H MIL A CG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO H MIL A CG) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400575,160143,HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(059618-H MIL A CG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DA SAUDE) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3500.0
160504000012026NC400576,160136,COMANDO DO 9º GRUPAMENTO LOGISTICO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(012294-CMDO 9º GPT LOG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 9º GPT LOG) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400577,160136,COMANDO DO 9º GRUPAMENTO LOGISTICO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(012294-CMDO 9º GPT LOG)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DA LOGISTICA) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3500.0
160504000012026NC400578,160136,COMANDO DO 9º GRUPAMENTO LOGISTICO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(011767-18º B TRNP)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 18º B TRNP) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400579,160136,COMANDO DO 9º GRUPAMENTO LOGISTICO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(065078-9º B MNT)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 9º B MNT) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
