OM,CODOM,CODUG,SIGLA_UG
34º BI Mec,8524,160157,9º BEC
34º Pel PE,65755,160537,Cmdo 16ª Bda Inf SI
35º BI,6007,160109,4ª Cia Com L Mth
35º Pel PE,65763,160111,Cmdo 4ª Bda Inf L Mth
36º BI Mec,8532,160158,Cmdo 13ª Bda Inf Mtz
36º Pel PE Pqdt,65797,160296,Ba Adm / Bda Inf Pqdt
37º BI Mec,7328,160134,CI Op Esp
37º BIL,7328,160471,37º BI Mec
38º BI,6106,160110,CMJF
3ª Bia AAAe,13292,160277,31º GAC (Es)
3ª Cia Com Bld,32144,160414,Cmdo 6ª Bda Inf Bld
3ª Cia E Cmb Mec,34876,160526,3ª Cia E Cmb Mec
3ª Cia F Esp,32870,160016,Cmdo CMA
3ª Cia Intlg,32946,160457,Ba Adm Ap / Ibirapuera
3º B Av Ex,1313,160024,Cmdo Fron-Sol/8º BIS
3º B Com,2030,160385,3º B Com
3º B Com GE,2121,160058,32º GAC
3º B Log,10900,160196,Ba Adm Ap / CMN
3º B Sup,12955,160253,1º B Gd
3º BE Cmb,2600,160062,CIE - UGE
3º BEC,3509,160070,DGP - UGE
3º BIS,10116,160179,3º CGEO
3º BPE,12807,160247,32º BIL Mth
3º CGCFEx,62182,160387,3º CGCFEx - UGE
3º CGEO,48413,160179,3º CGEO
3º CTA,15347,160321,ECT
3º Esqd C Mec,49973,160057,3º Esqd C Mec
3º GAAAe,55509,160369,3º GAAAe
3º GAC AP,58008,160409,3º GAC AP
3º Pel PE Mec,65862,160364,Cmdo 3ª Bda C Mec
3º RC Gd,70102,160388,3º RC Gd
3º RC Mec,70409,160363,3º RC Mec
3º RCC,68916,160207,3° RCC
3º RCG,70102,,
40º BI,6122,160111,Cmdo 4ª Bda Inf L Mth
41º BI Mec,8920,160159,18º GAC
41º BI Mtz,8912,160102,41º BI Mec
41º CT,15271,160311,EsAO
44º BI Mtz,9126,160160,51º BIS
47º BI,6163,160113,4º BE Cmb
4ª Cia Com L Mth,31427,160109,4ª Cia Com L Mth
4ª Cia E Cmb Mec,34884,160150,4ª Cia E Cmb Mec
4ª Cia PE,37515,160118,Cmdo 4ª RM
4º B Av Ex,1297,160023,10ª Cia E Cmb
4º B Com,2048,160055,16º B Log
4º B Log,11007,160198,7º D Sup
4º BE Cmb,2709,160064,CMB
4º BEC,3608,160072,11º D Sup
4º BI Mec,7245,160129,ESA
4º BIL,7245,160474,4º BI Mec
4º BIM,25054,160494,2º B Sup
4º BIS,21824,160402,6º BE Cmb
4º BPE,12898,160249,AMAN
